2674,,Greencroft Playground,Public,Redgrave ave & Ainsworth ave & Durant ave,park hours,no,
2673,,Grandview Playground,Public,Grandview Ave & Continental Pl,park hours,yes,
2672,,Dugan Playground,Public,Mill Rd & Tysens Lane,park hours,no,
2671,,Double Nickel Playground,Public,Osborne St & Preston Ave,park hours,yes,
2670,,Dematti Playground,Public,Tompkins Ave & Chestnut Ave,park hours,no,
2669,,Corporal Thompson,Public,Broadway & Henderson Ave,park hours,yes,
2668,,Conference House Park,Public,Pittsville St & Hylan Blvd & Surf ave & Richard av...,park hours,yes,
2667,,Blue Heron Park Preserve,Public,Poillon Ave,park hours,yes,
2666,,Boomingdale Park,Public,Richmond Pkwy & Bloomingdale Rd & Lenevar Ave,park hours,yes,
2665,,Blood Root Valley,Public,Rockland ave & Manor ave & Brielle ave & Forest Hi...,park hours,yes,
2664,,Arrochar Playground,Public,Sand Lane & Major Ave & McFarland Ave,park hours,yes,
2663,,Woodtree Playground,Public,20 Ave & 37 St & 38 St,park hours,,
2662,,Willow Lake Playground,Public,Grand Cetral Pkwy between 71 & 72 Ave,park hours,no,
2661,,Whitestone Playground,Public,12 Ave & 153 St,park hours,no,
2660,,Weeping Beech Park,Public,37 Ave & Bowne St,park hours,no,
2659,,Wayanda Park,Public,Robard Ln & 217 St,park hours,,
2658,,Vleigh Playground,Public,70 Rd to 71 Ave,park hours,yes,
2657,,Vleigh Place Playground,Public,Vleigh Pl & 141 St,park hours,no,
2656,,Union Playground,Public,Union St & 31 Rd,park hours,no,
2655,,Triborough Bridge Playground B,Public,Hoyt Ave & 21 to 23 St,park hours,no,
2654,,Triborough Bridge Playground A,Public,Hoyt Ave & 19 to 21 St,park hours,no,
2653,,Tall Oak Playground,Public,64 Ave & 218 st & 219 St,park hours,no,
2652,,St. Albans Park,Public,174 St & 113 Ave,park hours,no,
2651,,Springfield Park,Public,149 Ave & Springfield Blvd & 145 Rd & ...,park hours,,
2650,,Smokey Oval,Public,125 St & Atlantic Ave,park hours,no,
